26,19,29,-32,13,28,-41,13,26,15,-80,28,11,27,-41,41
17,17,21,29,-42,14,17,-30,23,18,-61,32,27,-41,34,75
75,16,-80,14,18,16,18,16,-71,34,18,-52,33,18,12,85
68,29,-71,18,19,22,-40,27,-61,24,27,-30,28,-50,48,58
51,14,28,-72,16,26,-31,27,19,16,-81,12,38,22,-42,43
25,38,17,-70,28,26,-41,32,29,-43,24,18,-72,43,18,72
36,27,-41,37,26,-60,18,22,16,-70,24,28,-32,24,37,92
99,-76,26,16,18,-70,22,29,11,18,-72,34,36,-80,44,55
26,37,16,-41,27,18,-42,24,16,-40,15,28,-61,12,39,74
11,24,28,-50,22,27,18,17,-80,26,22,18,-43,15,28,83
