table name:,1.1
2,1,3
1,3,4
2,2,4
3,1,a
1,1,2
1,2,3
1,3,4
2,1,3
2,2,4
1,i,2
table name:,1.2
1,2,1,4
1,1,2,4
3,0,1,4
1,1,1,3
1,2,1,4
1,1,2,4
2,0,2,4
2,1,1,4
1,3,0,4
1,2,1,4
table name:,1.3
4,-1,3
2,-2,0
3,-1,2
4,-4,0
2,-1,1
3,-3,0
4,-2,2
1,-1,0
4,-1,3
4,-3,1
table name:,1.4
4,-1,-2,1
4,-1,0,3
2,-1,-1,0
3,-2,-1,0
4,-1,-1,2
4,-2,-1,1
4,0,-2,2
4,~1,-2,1
3,-1,-1,1
4,-3,-1,0
table name:,10.1
5,3,-7,8,-2,7
6,3,-7,5,-6,1
8,1,-7,6,-3,5
9,-6,S,-7,5,6
4,-3,7,-8,6,6
4,-3,7,-5,6,9
2,1,6,-7,5,7
6,2,-7,5,3,9
2,2,-3,7,-8,0
5,4,-7,-1,5,6
table name:,10.2
3,-2,5,2,-8,0
2,5,-6,1,7,9
1,2,6,-5,-3,1
3,-1,6,-5,6,9
2,2,-1,6,9,0
5,4,-8,6,1,
9,-8,6,-1,3,9
1,8,7,6,-2,
2,7,-8,6,7,0
3,-2,8,-9,6,6
table name:,10.3
4,-2,7,-6,-2,1
7,1,-2,-6,8,
2,6,-7,6,2,9
7,-6,7,-5,-3,0
7,-5,6,-3,1,6
3,6,-5,-3,6,7
2,6,-5,6,-9,0
1,2,6,7,5,7
6,3,-4,2,-6,1
6,2,-1,-6,5,6
table name:,10.4
7,-5,7,-8,5,6
4,-2,7,-8,3,4
9,7,5,-6,5,6
8,-2,-5,8,-4,5
3,6,-7,5,-6,1
3,5,-6,7,-8,1
7,-6,7,-5,1,A
1,6,-7,5,3,
3,-1,5,-6,8,9
1,5,1,-6,7,8
table name:,10.5
2,6,-3,4,9,0
5,3,-6,1,5,
3,-1,6,-5,6,9
4,5,-6,-3,7,7
2,1,5,-6,5,7
9,-5,-2,7,-,1
1,6,2,-8,6,7
9,-6,-2,8,-1,
6,-5,8,-3,-5,1
9,-7,5,-6,S,6
table name:,10.6
6,2,-7,6,-5,2
1,7,1,7,5,7
4,-1,6,-7,6,8
1,6,2,-7,-2,0
1,6,5,7,-4,5
4,-3,6,5,7,9
6,3,-5,-3,8,9
1,6,5,1,6,9
3,5,-6,1,-3,0
2,6,5,6,-4,5
table name:,100.1
24,38,-23,44,-55,28
36,28,11,16,-63,28
72,-44,36,-23,-33,8
19,22,19,-23,37,74
28,33,-27,48,-53,29
47,16,-24,31,-63,7
